step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1782908563.039971,0.0,0.0,0.049999999989124494,0.0,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.0559127,-0.041802503083902466,-0.019931144918694268,0.09874998769257692,-9.326497434290847e-07,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.077639,-0.0456944409473243,-0.022164677464266848,0.1462811771469775,-9.161435861106199e-06,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.0953004,-0.04643943586714684,-0.022887050313040475,0.19262409147988643,-1.686142589534905e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.1166131,-0.04714949573654279,-0.023093679601403936,0.23758966277374285,-2.220098348033312e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.1341226,-0.05006979707259261,-0.024575545399048177,0.25344828528675395,-2.5886445874506996e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.1573646,-0.050930427892072624,-0.025014815723807753,0.2564396150206921,-2.92896313153136e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.1756947,-0.051019511437459905,-0.0250682596640264,0.2570042748040005,-3.210220523716198e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.1984477,-0.05103165064663584,-0.025075398631414482,0.2571109361561435,-3.403043074388569e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.2155795,-0.05103375169734365,-0.02507643352647606,0.25713106485289794,-3.522637162814639e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.2342877,-0.051034085420115075,-0.02507658571737144,0.25713486193250606,-3.594920246634495e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.2563171,-0.051034142670288274,-0.025076606975358132,0.25713557812792603,-3.638490290986598e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.280071,-0.0510341534612425,-0.025076608932139755,0.2571357131958786,-3.664727033412725e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.2995362,-0.0510341558023457,-0.025076608373568707,0.25713573866633205,-3.6805202876381985e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.317636,-0.051034156471200826,-0.02507660774823577,0.25713574346925727,-3.690025991533874e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.340014,-0.05103415673939979,-0.025076607322113587,0.2571357443749109,-3.695747105994875e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.3529367,-0.05103415687574667,-0.025076607056926725,0.257135744545678,-3.699190380114738e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.3767605,-0.051034156953289084,-0.02507660689573064,0.25713574457790866,-3.701262719160386e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.3987312,-0.05103415699926554,-0.025076606798477816,0.25713574458397326,-3.7025099574457273e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.4190533,-0.05103415702677475,-0.02507660673991025,0.2571357445851493,-3.7032606081149326e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.4371288,-0.05103415704320745,-0.025076606704597444,0.2571357445853695,-3.703712387352921e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.4607189,-0.051034157053021056,-0.025076606683391813,0.25713574458542,-3.70398429073252e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.486582,-0.05103415705883989,-0.02507660667054309,0.25713574458540595,-3.70414793578099e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.5032117,-0.051034157062544216,-0.02507660666290851,0.2571357445854051,-3.7042464256004864e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.5231206,-0.05103415706472075,-0.025076606658222825,0.2571357445854033,-3.704305701746337e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.541638,-0.05103415706602285,-0.025076606655483717,0.25713574458542143,-3.7043413770758444e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.559118,-0.05103415706673389,-0.02507660665388712,0.25713574458540905,-3.704362848289014e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.5794704,-0.05103415706737242,-0.02507660665273035,0.2571357445854042,-3.704375770725981e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
0,1782908563.5987606,-0.051034157067503486,-0.025076606652202835,0.2571357445854146,-3.704383548071992e-05,-0.539,0.934,0.1,1.0,0.001,-0.0,-0.0
