step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,ref_x,ref_y,ref_z,payload_x,payload_y,payload_z,payload_ref_x,payload_ref_y,payload_ref_z
517,1784626080.9517512,0.0,0.0,0.04999999999997512,0.0,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-7.657553090227947e-07,-7.307835129998552e-14,0.12499963485261502,-7.657553090227947e-07,-7.307835129998552e-14,0.12499963485261502
518,1784626080.972846,-4.628354555955297e-13,0.09999978851997005,0.09874999062144135,1.369330540148559e-15,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-7.657553090227947e-07,-7.307835129998552e-14,0.12499963485261502,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
519,1784626080.991192,-4.665014448435523e-13,0.19749360602189903,0.14628096713079797,1.4832198188305065e-13,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-7.657553090227947e-07,-7.307835129998552e-14,0.12499963485261502,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
520,1784626081.0102184,-5.211234190069626e-13,0.292554300938877,0.19262385428597792,1.5709774239389622e-13,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-6.552753472129582e-07,5.80045787444655e-14,0.12499963246346191,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
521,1784626081.029603,-5.369816364506767e-13,0.38503962517569834,0.237537067297493,1.4510199972642915e-13,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-6.552753472129582e-07,5.80045787444655e-14,0.12499963246346191,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
522,1784626081.0502925,-5.698010226591054e-13,0.401036305306901,0.25781646598332886,1.2271591094883493e-13,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-6.552753472129582e-07,5.80045787444655e-14,0.12499963246346191,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
523,1784626081.0702994,-5.748252238564991e-13,0.39370034417545463,0.26166854867610934,1.0435387673932201e-13,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-6.552753472129582e-07,5.80045787444655e-14,0.12499963246346191,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
524,1784626081.0907376,-5.728226348353246e-13,0.39449506138260293,0.2621594291194629,9.298497587162075e-14,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-6.552753472129582e-07,5.80045787444655e-14,0.12499963246346191,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
525,1784626081.1104548,-5.719180298096197e-13,0.3944889414100897,0.26199304180394045,8.692066567206575e-14,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,-6.552753472129582e-07,5.80045787444655e-14,0.12499963246346191,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
526,1784626081.131146,-5.71347487603139e-13,0.3944576294830696,0.2619851843447106,8.323230114133434e-14,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,1.514163172099193e-07,-8.547005990447016e-07,0.12499838101517835,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
527,1784626081.1522315,-5.70458941720707e-13,0.3946193903639729,0.2619168040171461,8.123151183582256e-14,0.434,0.0,0.504,1.0,-0.0,0.0,0.0,0.4335522457202008,2.6622090121858544e-17,0.5035537385642951,3.743283930741501e-06,-4.288200064221843e-06,0.1249875509264876,-7.657553090227947e-07,-7.307835129998552e-14,0.12739963485261502
