step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,ref_x,ref_y,ref_z
0,1784717497.3449128,0.0,0.0,0.04999999999971491,0.0,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.367726,0.01481949930210738,2.0137394354962885e-15,0.04999999999883256,0.0,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.3796585,0.010976150799107277,1.4913409612488152e-15,0.04999999999883246,-2.189623352562022e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.3984663,0.012189493788708268,1.6727320413427045e-15,0.04999999999883331,-2.249904663214072e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.4200797,0.011774443202818126,1.6124042969515844e-15,0.04999999999883317,-2.265964733545899e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.4427311,0.011907625531596714,1.6317644147878454e-15,0.049999999998833235,-2.255114173745097e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.4680872,0.011865395005347753,1.6256126402873232e-15,0.04999999999883323,-2.2581078543893072e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.481087,0.011878647387264957,1.627556876538603e-15,0.04999999999883322,-2.258252784611846e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.5003188,0.011874498594468402,1.6269676835140694e-15,0.04999999999883322,-2.258649755524988e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.5227623,0.01187579538174769,1.6271624858149773e-15,0.04999999999883323,-2.2585372869788783e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.541563,0.011875390230387807,1.6270719712221969e-15,0.04999999999883322,-2.258107717715213e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.560613,0.011875516779573693,1.6271174317671026e-15,0.04999999999883323,-2.258338025237903e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.5851395,0.011875477255073067,1.6271028678927889e-15,0.04999999999883322,-2.258484992851366e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.6100695,0.011875489599264055,1.6271146344198304e-15,0.04999999999883322,-2.2580288967635214e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.6367552,0.011875485743981921,1.6271115067922244e-15,0.04999999999883322,-2.258490791036364e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.6512568,0.011875486947947305,1.6271153669839479e-15,0.04999999999883322,-2.2583473775653614e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
0,1784717497.6795714,0.011875486571867738,1.6271047365779625e-15,0.04999999999883322,-2.25848925136773e-19,-0.0,-0.434,0.979,1.0,-0.0,-0.0,-0.0,1.413670118016888e-15,-0.43355339056057157,0.9785533906259757
