step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1776483385.059992,0.0,0.0,0.0500000005607788,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.088524,-0.09999833286830853,0.0,0.09874990180126791,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.117521,-0.19749588472354557,0.0,0.14628083979680256,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.1585252,-0.2925565258565644,0.0,0.192623409853442,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.1853762,-0.3583097611559238,0.0,0.23500790802429355,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.225802,-0.346200124274282,0.0,0.23968459553010388,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.2523704,-0.34447058268083997,0.0,0.24243413870631975,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.2861683,-0.3453253190860702,0.0,0.24166000674864557,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.3163831,-0.3451633961271376,0.0,0.24204544600413408,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.3556395,-0.3451172882506698,0.0,0.24217443076873396,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.3874605,-0.3452263765786121,0.0,0.24192246589539732,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.4203093,-0.3451745476844773,0.0,0.24210517136400891,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.452331,-0.3452048515890153,0.0,0.24185047481326605,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.4880385,-0.3451798547527743,0.0,0.2419914820671118,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.52173,-0.3451776052926136,0.0,0.24273991097467532,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.5542321,-0.3452285087996069,0.0,0.24209637815621965,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.5900812,-0.34518562833948585,0.0,0.24206260646908698,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.6201882,-0.3451477272716922,0.0,0.2427332334013283,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.6569438,-0.34523289212060604,0.0,0.24200800278207596,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.687984,-0.3451798085617891,0.0,0.24205804776645962,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.7237463,-0.3451793987705501,0.0,0.24275883992739566,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.7568746,-0.3452274736469837,0.0,0.24212413639388514,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.7893646,-0.3451872859232076,0.0,0.24206040064828938,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.8214722,-0.3451269916950123,0.0,0.2427865528316494,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.8545094,-0.3452379277323238,0.0,0.24192565263965599,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.886944,-0.34517325158794077,0.0,0.2420703666946822,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.9218144,-0.3452032912304682,0.0,0.2418578778049893,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.9565136,-0.3451807909362024,0.0,0.24198925597880963,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483385.9848819,-0.3451733611843006,0.0,0.2427309756718108,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.021689,-0.34523056163442467,0.0,0.24202806049091252,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.0546026,-0.34518151231024075,0.0,0.24206489380539045,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.0866058,-0.3451702885451233,0.0,0.24274680926018352,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.119789,-0.3452320749481553,0.0,0.24195447855109903,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.155871,-0.34517711019921427,0.0,0.24206450894922069,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.1887984,-0.34519585212282167,0.0,0.24174061837370442,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.2262974,-0.34517783666298296,0.0,0.24185953404735763,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.253309,-0.3451781562513062,0.0,0.24278595203206893,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.2875695,-0.3452246517577491,0.0,0.2421806110872589,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.323323,-0.34519111142013115,0.0,0.24205337832780446,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.3526256,-0.34519314408263935,0.0,0.24179073429701012,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.3852541,-0.34518150386270124,0.0,0.2418318017269604,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.4172077,-0.3451633922637189,0.0,0.24274871631694292,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.4500263,-0.34523369410599336,0.0,0.2419875841403702,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.4872427,-0.34517867001989977,0.0,0.24206890485252802,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.5191624,-0.3451809981785927,0.0,0.2427802015965993,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.5542707,-0.3452259266189144,0.0,0.24215574893366737,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.5839076,-0.34518929851348157,0.0,0.24205641173772738,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.6218083,-0.34519339999381293,0.0,0.24177042986280334,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
0,1776483386.6566422,-0.34518030870898253,0.0,0.24183249488489028,0.0,-0.0,1.0,0.1,1.0,0.0,-0.0,0.0
