step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,ref_x,ref_y,ref_z,payload_x,payload_y,payload_z,payload_ref_x,payload_ref_y,payload_ref_z
0,1784427239.0509431,0.0,0.0,0.04999999999999685,0.0,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-5.026211914862264e-07,-1.677839246943003e-16,0.12499994647824945,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.0724547,-6.710656972137092e-17,0.09999995562740051,0.09874999770731076,2.0877249206460374e-19,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-5.026211914862264e-07,-1.677839246943003e-16,0.12499994647824945,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.095101,-5.956405958786278e-17,0.1974875925226866,0.14628089215443488,3.104332377801011e-17,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-5.026211914862264e-07,-1.677839246943003e-16,0.12499994647824945,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.1145508,-6.054512819634745e-17,0.2925478100003813,0.19262383798678523,2.3186223463005546e-17,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-5.026211914862264e-07,-1.677839246943003e-16,0.12499994647824945,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.131231,-6.093221588431795e-17,0.3852141017333298,0.23780782198644185,1.632877750729195e-17,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-5.026211914862264e-07,-1.677839246943003e-16,0.12499994647824945,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.1510625,-6.370210916909098e-17,0.3960751227181094,0.2818619799247736,1.022244322105802e-17,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-5.026211914862264e-07,-1.677839246943003e-16,0.12499994647824945,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.1697998,-6.553101678862396e-17,0.39280878075178377,0.30719842143480075,6.333036477166832e-18,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-3.923856312301885e-07,-1.7870142466977877e-16,0.12499994562169145,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.1922207,-6.645451299525117e-17,0.3945682032500074,0.311479923401777,4.251385506564701e-18,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-3.923856312301885e-07,-1.7870142466977877e-16,0.12499994562169145,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.2109325,-6.649505478092233e-17,0.3949277837610564,0.31223978657454016,3.0416238329159214e-18,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-3.923856312301885e-07,-1.7870142466977877e-16,0.12499994562169145,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.2359238,-6.626316045411462e-17,0.39446043903574735,0.31228065184306003,2.3733853172010043e-18,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-3.923856312301885e-07,-1.7870142466977877e-16,0.12499994562169145,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.2528038,-6.63272521277626e-17,0.39489487154989217,0.3123870188132521,1.9148819725532827e-18,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-3.923856312301885e-07,-1.7870142466977877e-16,0.12499994562169145,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.2728252,-6.613287924084903e-17,0.3944780622129317,0.3123020440464041,1.6888299486968728e-18,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-3.923856312301885e-07,-1.7870142466977877e-16,0.12499994562169145,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.2898817,-6.625412275611156e-17,0.39489407054387893,0.3123903242890874,1.4929630929320063e-18,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-3.923856312301885e-07,-1.7870142466977877e-16,0.12499994562169145,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
0,1784427239.3106525,-6.610583558710335e-17,0.39447775682485725,0.31230278494006747,1.429092486500987e-18,0.434,0.0,0.504,1.0,-0.0,-0.0,-0.0,0.4335529999405308,4.254084444095274e-21,0.5035530049277902,-3.923856312301885e-07,-1.7870142466977877e-16,0.12499994562169145,-3.0673092601470165e-07,-2.177547023850901e-17,0.12500012110722084
