experiment_type,num_trials,x_mean_m,x_std_m,y_mean_m,y_std_m,z_mean_m,z_std_m,3d_mean_m,3d_std_m
circle,3,0.294,0.039,0.302,0.079,0.133,0.052,0.452,0.042
xyz_sine,3,0.298,0.047,0.424,0.18,0.115,0.049,0.553,0.111
z_sin,3,0.296,0.034,0.387,0.129,0.115,0.007,0.509,0.095
