step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1776071588.124464,0.0,-0.13299807590217583,-0.6134440637151599,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
1,1776071588.1310828,0.0,-0.13299807590217583,-0.6119550921602608,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
2,1776071588.1386867,0.0,-0.13299807590217583,-0.6104661206053615,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
3,1776071588.1462805,0.0,-0.13299807590217583,-0.6089771490504624,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
4,1776071588.156563,0.0,-0.13299807590217583,-0.6074881774955632,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
5,1776071588.1635432,0.0,-0.13299807590217583,-0.6059992059406641,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
6,1776071588.1712172,0.0,-0.13299807590217583,-0.6045102343857649,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
7,1776071588.1800497,0.0,-0.13299807590217583,-0.6030212628308658,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
8,1776071588.1898549,0.0,-0.13299807590217583,-0.6015322912759666,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
9,1776071588.196369,0.0,-0.13299807590217583,-0.6000433197210675,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
10,1776071588.20536,0.0,-0.13299807590217583,-0.5985543481661681,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
11,1776071588.2135332,0.0,-0.13299807590217583,-0.597065376611269,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
12,1776071588.2207806,0.0,-0.13299807590217583,-0.5955764050563699,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
13,1776071588.2284591,0.0,-0.13299807590217583,-0.5940874335014709,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
14,1776071588.2375546,0.0,-0.13299807590217583,-0.5925984619465716,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
15,1776071588.2457714,0.0,-0.13299807590217583,-0.5911094903916725,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
16,1776071588.2539337,0.0,-0.13299807590217583,-0.5896205188367734,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
17,1776071588.2616441,0.0,-0.13299807590217583,-0.5881315472818742,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
18,1776071588.270787,0.0,-0.13299807590217583,-0.586642575726975,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
19,1776071588.2789352,0.0,-0.13299807590217583,-0.5851536041720758,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
20,1776071588.2883797,0.0,-0.13299807590217583,-0.5836646326171766,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
21,1776071588.2958927,0.0,-0.13299807590217583,-0.5821756610622775,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
22,1776071588.3045242,0.0,-0.13299807590217583,-0.5806866895073783,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
23,1776071588.312919,0.0,-0.13299807590217583,-0.5791977179524792,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
24,1776071588.3229275,0.0,-0.13299807590217583,-0.5777087463975801,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
25,1776071588.3289127,0.0,-0.13299807590217583,-0.5762197748426809,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
26,1776071588.3383844,0.0,-0.13299807590217583,-0.5747308032877817,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
27,1776071588.3464477,0.0,-0.13299807590217583,-0.5732418317328825,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
28,1776071588.3539636,0.0,-0.13299807590217583,-0.5717528601779833,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
29,1776071588.362403,0.0,-0.13299807590217583,-0.5702638886230842,-0.0,2.013,0.0,0.106,0.999,-0.0,0.053,0.0
