step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,ref_x,ref_y,ref_z
1281,1784628717.1284864,0.0,0.0,0.04999999999999122,0.0,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.21677710647377135,0.3754681843472339,0.5035532179419103
1282,1784628717.145692,-0.09999974283638474,-0.09999846980426969,0.09874998575390206,0.00032778421674691937,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.21677710647377135,0.3754681843472339,0.5035532179419103
1283,1784628717.1716597,-0.1974965038387736,-0.19748768312773324,0.14628116939519464,0.040706093493179926,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.21677710647377135,0.3754681843472339,0.5035532179419103
1284,1784628717.1982772,-0.2925502133138409,-0.29242834183136257,0.19262400234843965,0.06006397076064496,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.21677710647377135,0.3754681843472339,0.5035532179419103
1284,1784628717.2168322,-0.38522103707040484,-0.29152429133441127,0.23780201643123683,0.05868525564392025,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.21677710647377135,0.3754681843472339,0.5035532179419103
1286,1784628717.229108,-0.3731526715376512,-0.2879912055306188,0.26194002870418776,0.045839529564649276,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1287,1784628717.2507892,-0.36955875023767587,-0.2884278961020208,0.26564945573427673,0.03746587943611259,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1288,1784628717.270483,-0.3713823081561901,-0.290122928103464,0.2660458018611998,0.032712751757825564,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1289,1784628717.2979577,-0.37187367249665815,-0.2903205796866949,0.2659927047519417,0.03058071450637849,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1290,1784628717.3105412,-0.3750373867539005,-0.290443299563471,0.26581286677789656,0.03009868091035552,-0.217,0.375,0.504,1.0,0.0,0.0,-0.0,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1291,1784628717.3311372,-0.3739685081412877,-0.29158212466753375,0.26572023896071273,0.02688361113355315,-0.217,0.375,0.504,1.0,0.0,-0.0,-0.0,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1292,1784628717.3518898,-0.37457105063535756,-0.29083325963253176,0.2656872792320209,0.026343499816014162,-0.217,0.375,0.504,1.0,0.0,-0.0,-0.0,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1293,1784628717.3688917,-0.367404967380261,-0.2827956562580545,0.2657857973290914,0.022778019977173,-0.217,0.375,0.504,1.0,0.0,-0.0,-0.001,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1294,1784628717.3991091,-0.3619570730035895,-0.27470899256951004,0.26634979816266313,0.019648591542990573,-0.217,0.375,0.504,1.0,-0.0,-0.001,-0.001,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1294,1784628717.41799,-0.36859065062994845,-0.2882605830038467,0.26617248721270187,0.0180082680988828,-0.217,0.375,0.504,1.0,-0.0,-0.001,-0.001,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1296,1784628717.4327362,-0.3497452711167035,-0.2721351680272814,0.26599448811022613,0.012437393434942955,-0.216,0.375,0.504,1.0,-0.001,-0.001,-0.001,-0.2167771062529571,0.3754681839649395,0.5035532175005233
1297,1784628717.456558,-0.3359654819630289,-0.2574608352778077,0.26938883246950424,0.008129897236085964,-0.216,0.374,0.504,1.0,-0.002,-0.002,-0.002,-0.21662769254561842,0.3749640378890676,0.50365406601507
1297,1784628717.4720218,-0.3012737637134659,-0.2260914129295678,0.26958960433480633,0.00290465446539949,-0.216,0.373,0.504,1.0,-0.005,-0.003,-0.002,-0.21662769254561842,0.3749640378890676,0.50365406601507
1299,1784628717.4991732,-0.193749365434274,-0.12045843861025773,0.278898874142106,0.003985640381771945,-0.215,0.372,0.505,1.0,-0.011,-0.008,-0.003,-0.21662769254561842,0.3749640378890676,0.50365406601507
1299,1784628717.5214758,-0.2888034888062595,-0.2153330248717532,0.27136702054920186,0.00447333908558814,-0.215,0.371,0.505,1.0,-0.012,-0.009,-0.003,-0.21662769254561842,0.3749640378890676,0.50365406601507
1301,1784628717.540851,-0.21885885254839496,-0.12524781583229963,0.2684050715461558,0.0002894493566753323,-0.214,0.37,0.507,1.0,-0.019,-0.013,-0.003,-0.21662769254561842,0.3749640378890676,0.50365406601507
1301,1784628717.5591319,-0.20197503593593122,-0.09786110715006194,0.26906274354044857,-0.004142560806714502,-0.214,0.369,0.507,1.0,-0.022,-0.015,-0.003,-0.21662769254561842,0.3749640378890676,0.50365406601507
