step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,ref_x,ref_y,ref_z
0,1784634696.1320915,0.0,0.0,0.04999999999999974,0.0,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.1515665,3.680667759816021e-07,-0.09999999531264236,0.04999999984053344,5.164391900347416e-09,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.168807,-4.537600157434403e-07,-0.09999962282361054,0.049999997165984404,6.901526831132162e-07,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.1900635,2.330839884744624e-06,-0.09999999418654178,0.04999999960995064,-9.979435048171006e-07,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.2089188,-7.591691961461987e-06,-0.09999922297927456,0.04999999050475086,5.3582949780522876e-06,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.2302434,2.6900387210743534e-05,-0.09999998301841674,0.049999998868081784,-1.563884204340704e-05,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.251815,-9.093595382928968e-05,-0.09999653310308204,0.04999999989990007,5.171394770291111e-05,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.2705395,0.0003061614800536279,-0.09999909831569981,0.04999999916279362,-0.00017566893111723185,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.290221,-0.0010530296341806663,-0.09999997905790871,0.04999999991940881,0.0006270385285994571,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.310282,0.0036475139581390753,-0.09999955458082188,0.04999999994789927,-0.002154451381658619,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.3304822,-0.013092189817989297,-0.0999999446584543,0.049999995143846634,0.007943393498680038,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.3589652,0.04586050560881473,-0.09999832900562926,0.049999985176131974,-0.02785196249347353,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.3742666,-0.09994357572294114,-0.09999996213312415,0.049999998705132324,0.09818312713864756,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.3960798,0.09999641836544475,-0.09999992293758925,0.0499999924599092,-0.09999485706533269,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
0,1784634696.4173434,-0.09999971551121926,-0.09999997174231795,0.04999999430710696,0.09999905922252471,-0.434,-0.0,0.504,1.0,0.0,0.0,0.0,-0.43355340234570044,1.1581394666930955e-13,0.5035534073515491
