experiment_type,num_trials,x_mean_m,x_std_m,y_mean_m,y_std_m,z_mean_m,z_std_m,3d_mean_m,3d_std_m
circle_no_xy_adapt,3,0.186,0.015,0.257,0.052,0.035,0.009,0.32,0.049
circle_xy_adapt,3,0.153,0.018,0.16,0.007,0.051,0.021,0.229,0.01
hover_no_xy_adapt,3,0.634,0.135,0.456,0.209,0.091,0.058,0.794,0.23
hover_xy_adapt,3,0.306,0.091,0.355,0.143,0.04,0.005,0.478,0.148
xyz_no_xy_adapt,3,0.511,0.035,0.156,0.012,0.043,0.002,0.537,0.03
xyz_xy_adapt,3,0.273,0.033,0.114,0.022,0.035,0.003,0.299,0.024
z_sin_no_xy_adapt,3,0.531,0.024,0.084,0.017,0.053,0.003,0.54,0.022
z_sin_xy_adapt,3,0.317,0.057,0.091,0.025,0.079,0.034,0.343,0.046
