step,sim_time,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,ref_x,ref_y,ref_z
0,1784717497.3333833,0.0,0.0,0.04999999999971491,0.0,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.3429496,5.267950803590167e-15,-0.014819499302115563,0.04999999999883255,0.0,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.3594048,3.901305706821441e-15,-0.010976150799168164,0.04999999999883246,-5.728637142552253e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.3799162,4.375818897771996e-15,-0.012189493788661148,0.04999999999883331,-5.887468245616551e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.400795,4.217933230534045e-15,-0.011774443202817498,0.04999999999883317,-5.9290485763855205e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.4224427,4.268734227517819e-15,-0.011907625531680649,0.049999999998833235,-5.901735718031073e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.44122,4.252658716861073e-15,-0.01186539500533829,0.04999999999883323,-5.909038525224836e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.4632049,4.25770153360912e-15,-0.011878647387210688,0.04999999999883322,-5.906989764778214e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.4823732,4.256086607702908e-15,-0.0118744985943752,0.04999999999883322,-5.907218241701932e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.503359,4.256579272502137e-15,-0.011875795381687404,0.04999999999883323,-5.907294401510008e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.5184624,4.25645879507031e-15,-0.011875390230349466,0.04999999999883322,-5.907451515692144e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.5421748,4.256500017468881e-15,-0.011875516779547051,0.04999999999883323,-5.907052511519985e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.568974,4.256459312535182e-15,-0.011875477255079916,0.04999999999883322,-5.907720219671394e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.5822258,4.256497152846163e-15,-0.011875489599193878,0.04999999999883322,-5.907564159441702e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.599299,4.2564836940454186e-15,-0.011875485743955258,0.04999999999883322,-5.90679897682167e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.6205213,4.256483903364404e-15,-0.011875486947959936,0.04999999999883322,-5.906896203321766e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.643704,4.2564574656715685e-15,-0.011875486572034542,0.04999999999883322,-5.90762152301734e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.6784818,4.256467745872894e-15,-0.011875486689430326,0.04999999999883322,-5.907713827707931e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.698466,4.256494175914042e-15,-0.011875486652651826,0.04999999999883322,-5.907422308928781e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.7244446,4.2564585887414316e-15,-0.011875486663886763,0.04999999999883322,-5.907223098823864e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905605377,-3.698123784702595e-15,0.9785533906260098
0,1784717497.7524304,4.256824391597796e-15,-0.011875486665205203,0.04999999999883322,-5.914877387498446e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.7748175,4.256772875497572e-15,-0.011875486665022087,0.04999999999883322,-5.905381642176182e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.7987468,4.2567834653499e-15,-0.011875486665116754,0.04999999999883322,-5.908526252305628e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.8251262,4.256791571199346e-15,-0.011875486665107873,0.04999999999883322,-5.907339810680709e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.8421767,4.2567586938866605e-15,-0.011875486665097742,0.04999999999883322,-5.907629427563709e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.8561535,4.2567776177815844e-15,-0.011875486665141273,0.04999999999883322,-5.907886419558683e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.8730216,4.256793656692953e-15,-0.011875486665109304,0.04999999999883322,-5.907490402969893e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.8828557,4.256764602957902e-15,-0.01187548666505815,0.04999999999883322,-5.907502270963669e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.900397,4.256780470961066e-15,-0.011875486665230799,0.04999999999883322,-5.907685911053107e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.9256663,4.256771137683104e-15,-0.011875486665073303,0.04999999999883322,-5.907645703879404e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.9516947,4.256776465099431e-15,-0.011875486665213724,0.04999999999883322,-5.907783173430111e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.9651296,4.256774688923262e-15,-0.011875486664979873,0.04999999999883322,-5.907285375254627e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.977777,4.256754813113523e-15,-0.011875486665064971,0.04999999999883322,-5.907890895404959e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717497.9990408,4.256750418923837e-15,-0.011875486665002264,0.04999999999883322,-5.90772198197182e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717498.0291324,4.256744113799951e-15,-0.011875486665164896,0.04999999999883322,-5.907834703549326e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.43355339056379844,-3.69837815259554e-15,0.978553390622749
0,1784717498.0509667,4.256866966780122e-15,-0.011875486669206839,0.04999999999883322,-5.910814486702531e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905667343,-3.698448768483997e-15,0.9785533906198132
0,1784717498.073578,4.2568604799421144e-15,-0.011875486668202623,0.04999999999883322,-5.906939901098872e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905667343,-3.698448768483997e-15,0.9785533906198132
0,1784717498.100808,4.256860073949675e-15,-0.011875486668391848,0.04999999999883322,-5.907749047677076e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905667343,-3.698448768483997e-15,0.9785533906198132
0,1784717498.1283076,4.256891299689417e-15,-0.011875486668210467,0.04999999999883322,-5.907832576312893e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905667343,-3.698448768483997e-15,0.9785533906198132
0,1784717498.1407752,4.2568384328993536e-15,-0.011875486668302385,0.04999999999883322,-5.907907979259995e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905667343,-3.698448768483997e-15,0.9785533906198132
0,1784717498.1616118,4.256844774776033e-15,-0.011875486668282151,0.04999999999883322,-5.908135295240828e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905667343,-3.698448768483997e-15,0.9785533906198132
0,1784717498.192631,4.256844910848077e-15,-0.0118754866684863,0.04999999999883322,-5.908162674298121e-19,-0.434,0.0,0.979,1.0,-0.0,0.0,-0.0,-0.4335533905667343,-3.698448768483997e-15,0.9785533906198132
