step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1773560788.6717968,0.0,0.0,-0.6134440637151599,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
1,1773560788.6781938,0.0,0.0,-0.6119550921602608,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
2,1773560788.6867661,0.0,0.0,-0.6104661206053615,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
3,1773560788.6949816,0.0,0.0,-0.6089771490504624,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
4,1773560788.7032545,0.0,0.0,-0.6074881774955632,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
5,1773560788.7118921,0.0,0.0,-0.6059992059406641,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
6,1773560788.7206278,0.0,0.0,-0.6045102343857649,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
7,1773560788.7281914,0.0,0.0,-0.6030212628308658,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
8,1773560788.7372718,0.0,0.0,-0.6015322912759666,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
9,1773560788.7451565,0.0,0.0,-0.6000433197210675,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
10,1773560788.753566,0.0,0.0,-0.5985543481661681,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
11,1773560788.7618213,0.0,0.0,-0.597065376611269,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
12,1773560788.7702606,0.0,0.0,-0.5955764050563699,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
13,1773560788.7781966,0.0,0.0,-0.5940874335014709,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
14,1773560788.7868416,0.0,0.0,-0.5925984619465716,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
15,1773560788.7949111,0.0,0.0,-0.5911094903916725,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
16,1773560788.8043585,0.0,0.0,-0.5896205188367734,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
17,1773560788.812449,0.0,0.0,-0.5881315472818742,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
18,1773560788.8198776,0.0,0.0,-0.586642575726975,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
19,1773560788.8290772,0.0,0.0,-0.5851536041720758,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
20,1773560788.8369727,0.0,0.0,-0.5836646326171766,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
21,1773560788.8447793,0.0,0.0,-0.5821756610622775,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
22,1773560788.8532808,0.0,0.0,-0.5806866895073783,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
23,1773560788.8617246,0.0,0.0,-0.5791977179524792,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
24,1773560788.870071,0.0,0.0,-0.5777087463975801,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
25,1773560788.8784032,0.0,0.0,-0.5762197748426809,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
26,1773560788.887267,0.0,0.0,-0.5747308032877817,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
27,1773560788.894961,0.0,0.0,-0.5732418317328826,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
28,1773560788.903511,0.0,0.0,-0.5717528601779833,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
29,1773560788.912359,0.0,0.0,-0.5702638886230842,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
30,1773560788.9200046,0.0,0.0,-0.5687749170681851,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
31,1773560788.9283772,0.0,0.0,-0.5672859455132859,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
32,1773560788.9368024,0.0,0.0,-0.5657969739583868,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
33,1773560788.9453113,0.0,0.0,-0.5643080024034877,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
34,1773560788.9529853,0.0,0.0,-0.5628190308485884,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
35,1773560788.9620178,0.0,0.0,-0.5613300592936892,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
36,1773560788.969908,0.0,0.0,-0.55984108773879,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
37,1773560788.9784265,0.0,0.0,-0.5583521161838909,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
38,1773560788.9865324,0.0,0.0,-0.5568631446289918,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
39,1773560788.9948246,0.0,0.0,-0.5553741730740926,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
40,1773560789.0036385,0.0,0.0,-0.5538852015191935,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
41,1773560789.0117679,0.0,0.0,-0.5523962299642944,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
42,1773560789.0206978,0.0,0.0,-0.5509072584093951,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
43,1773560789.0283709,0.0,0.0,-0.549418286854496,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
44,1773560789.03644,0.0,0.0,-0.5479293152995969,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
45,1773560789.0448954,0.0,0.0,-0.5464403437446976,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
46,1773560789.0531719,0.0,0.0,-0.5449513721897985,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
47,1773560789.062628,0.0,0.0,-0.5434624006348994,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
48,1773560789.070585,0.0,0.0,-0.5419734290800002,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
49,1773560789.0793614,0.0,0.0,-0.5404844575251011,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
50,1773560789.0868506,0.0,0.0,-0.5389954859702017,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
51,1773560789.095718,0.0,0.0,-0.5375065144153026,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
52,1773560789.1035473,0.0,0.0,-0.5360175428604035,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
53,1773560789.1115153,0.0,0.0,-0.5345285713055044,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
54,1773560789.1198943,0.0,0.0,-0.5334336424991117,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
55,1773560789.1281962,0.0,0.0,-0.5319446709442125,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
56,1773560789.1367378,0.0,0.0,-0.5312437848863263,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
57,1773560789.1453607,0.0,0.0,-0.5301488560799336,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
58,1773560789.153304,0.0,0.0,-0.5286598845250343,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
59,1773560789.1614099,0.0,0.0,-0.5287470839641611,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
60,1773560789.1695986,0.0,0.0,-0.5260759841637426,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
61,1773560789.178074,0.0,0.0,-0.5285274400939082,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
62,1773560789.1874304,0.0,0.0,-0.5286146395330347,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
63,1773560789.195428,0.0,0.0,-0.5227911977445645,-0.0,1.0,-0.0,0.1,1.0,0.0,-0.0,0.0
64,1773560789.2031102,0.0,0.0,-0.5274131724810864,-0.0,1.0,-0.0,0.101,1.0,0.0,-0.0,0.0
65,1773560789.2115214,0.0,0.0,-0.5247420726806677,-0.0,1.0,-0.0,0.101,1.0,0.0,-0.0,0.0
66,1773560789.2197733,0.0,0.0,-0.530345870598885,-0.0,1.0,-0.0,0.101,1.0,0.0,-0.0,0.0
67,1773560789.2280746,0.0,0.0,-0.5217641295708696,-0.0,1.0,-0.0,0.101,1.0,0.0,-0.0,0.0
68,1773560789.2381923,0.0,0.0,-0.5222453717585027,-0.0,1.0,-0.0,0.101,1.0,0.0,-0.0,0.0
